Tel Kaif	Assyrians
Bahnam Zaya Bulos	Assyrians
Basimah Yusuf Butrus	Assyrians
Arbil	Assyrians
Iraqi Council of Representatives	Assyrians
Iraqi Council of Representatives	Assyrians
Wijdan Michael	Assyrians
Georges Sada	Assyrians
Iraqi Council of Representatives	Assyrians
Pascal Esho Warda	Assyrians
Holy See	Assyrians
Iraqi Communist Party	Assyrians
Kurdistan Regional Government	Assyrians
Tariq Aziz	Assyrians
Saddam Hussein	Assyrians
National Olympic Committee of Iraq	Assyrians
Tiras Odisho	Assyrians
Freydun Atturaya	Assyrians
Naum Faiq	Assyrians
Dr. William Ishaya	Assyrians
Mitch Daniels	Assyrians
US Congress	Assyrians
US Congress	Assyrians
Illinois	Assyrians
Anna Georges Eshoo	Assyrians
Liberal Party of Australia	Assyrians
Australia	Assyrians
Parliament of Sweden	Assyrians
Parliament of Sweden	Assyrians
Parliament of Sweden	Assyrians
Minister of State (Canada)	Assyrians
Attiya Gamri	Assyrians
Eugene Dooman	Assyrians
Assyrian Universal Alliance	Assyrians
Sargon Dadesho	Assyrians
European Syriac Union	Assyrians
Oaxaca	Assyrians
Assyrian kings	Assyrians
Addagoppe of Harran	Assyrians
Isa Kelemechi	Assyrians
Bar Sauma	Assyrians
Babai the Great	Assyrians
Basile Georges Casmoussa	Assyrians
David Benjamin Keldani	Assyrians
Henana of Adiabene	Assyrians
Isaac of Nineveh	Assyrians
Mar Dinkha IV	Assyrians
Mar Eshai Shimun XXIII	Assyrians
Mar Shimun XIX Benyamin	Assyrians
Mar Yousip Khnanisho	Assyrians
Sargis Bkheera	Assyrians
Tatian	Assyrians
Theodore of Mopsuestia	Assyrians
Toma bar Yacoub	Assyrians
Yusuf Akbulut	Assyrians
Ephrem the Syrian	Assyrians
Babai the Great	Assyrians
Bar-Hebraeus	Assyrians
Bar Daisan	Assyrians
Nestorius	Assyrians
Jacob of Nisibis	Assyrians
Diodorus of Tarsus	Assyrians
Tatian	Assyrians
Mar Youhannan Semaan Issayi	Assyrians
Manichaean	Assyrians
Pkidha	Assyrians
Heliodorus of Bet Zabdai	Assyrians
Josephus Adjutus	Assyrians
George Garmo	Assyrians
Shlemon Warduni	Assyrians
Paulos Faraj Rahho	Assyrians
Emil Shimoun Nona	Assyrians
Raphael I Bidawid	Assyrians
Elias Mellus	Assyrians
Basile Georges Casmoussa	Assyrians
Ignatius Isaac Azar	Assyrians
Mar Meelis Zaia	Assyrians
Emmanuel III Delly	Assyrians
Tatian	Assyrians
Aphrahat	Assyrians
Bar Daysan	Assyrians
Iamblichus of Chalcis	Assyrians
John bar Penkaye	Assyrians
John of Ephesus	Assyrians
Moses Bar-Kepha	Assyrians
Philoxenus of Mabbog	Assyrians
Stephen Bar Sudhaile	Assyrians
Lucian of Samosata	Assyrians
Ivan Kakovitch	Assyrians
Maria Theresa Asmar	Assyrians
Sargon Boulus	Assyrians
Nina Burleigh	Assyrians
Thea Halo	Assyrians
Leilah Nadir	Assyrians
George Lamsa	Assyrians
Yuhanon Qashisho	Assyrians
Rosie Malek-Yonan	Assyrians
Mikhael K. Pius	Assyrians
Terrence Malick	Assyrians
Alphonse Mingana	Assyrians
Jacob of Serugh	Assyrians
Dunya Mikhail	Assyrians
Heather Raffo	Assyrians
Fuat Deniz	Assyrians
Munir Redfa	Assyrians
Elias Syriani	Assyrians
George Nassar	Assyrians
Nadya Suleman	Assyrians
Sami Khoshaba Latchin	Assyrians
Chaldean mafia	Assyrians
Original Gangsters (gang)	Assyrians
Ragheed Aziz Ganni	Assyrians
Assyrian Aid Society	Assyrians
Hero of the Soviet Union	Assyrians
Cindy Sargon	Assyrians
Alfred Yaghobzadeh	Assyrians
Assyrian/Chaldean/Syriac people	Assyrians
Isabelle Adjani	French_people
Renee Adoree	French_people
Anouk Aimee	French_people
Flo Ankah	French_people
Arletty	French_people
Antonin Artaud	French_people
Fanny Ardant	French_people
Jeanne Aubert	French_people
Jean-Louis Aubert	French_people
Jean-Pierre Aumont	French_people
Claude Autant-Lara	French_people
Daniel Auteuil	French_people
Charles Aznavour	French_people
Brigitte Bardot	French_people
Emmanuelle Beart	French_people
Jean-Paul Belmondo	French_people
Francois Berleand	French_people
Charles Berling	French_people
Suzanne Bianchetti	French_people
Juliette Binoche	French_people
Bernard Blier	French_people
Sandrine Bonnaire	French_people
Elodie Bouchez	French_people
Bourvil	French_people
Dany Boon	French_people
Angelique Boyer	French_people
Charles Boyer	French_people
Guillaume Canet	French_people
Capucine	French_people
Martine Carol	French_people
Leslie Caron	French_people
Isabelle Carre	French_people
Vincent Cassel	French_people
Jean-Pierre Cassel	French_people
Laetitia Casta	French_people
Robert Clary	French_people
Gregoire Colin	French_people
Marion Cotillard	French_people
Clotilde Courau	French_people
Darry Cowl	French_people
Beatrice Dalle	French_people
Lili Damita	French_people
Danielle Darrieux	French_people
Alain Delon	French_people
Daniele Delorme	French_people
Julie Delpy	French_people
Catherine Deneuve	French_people
Elisabeth Depardieu	French_people
Gerard Depardieu	French_people
Guillaume Depardieu	French_people
Patrick Dewaere	French_people
Arielle Dombasle	French_people
Michel Drucker	French_people
Morgane Dubled	French_people
Jean Dujardin	French_people
Anny Duperey	French_people
Romain Duris	French_people
Nicolas Duvauchelle	French_people
Fernandel	French_people
Brigitte Fossey	French_people
Louis de Funes	French_people
Felicite Du Jeu	French_people
Jean Gabin	French_people
Julie Gayet	French_people
Annie Girardot	French_people
Judith Godreche	French_people
Eva Green	French_people
Sacha Guitry	French_people
Isabelle Huppert	French_people
Irene Jacob	French_people
Claude Jade	French_people
Marlene Jobert	French_people
Valerie Kaprisky	French_people
Melanie Laurent	French_people
Jean-Pierre Leaud	French_people
Virginie Ledoyen	French_people
Noemie Lenoir	French_people
Max Linder	French_people
Sheryfa Luna	French_people
Marcel Marceau	French_people
Sophie Marceau	French_people
Jean Marais	French_people
Olivier Martinez	French_people
Jean-Baptiste Maunier	French_people
Miou-Miou	French_people
Mistinguett	French_people
Yves Montand	French_people
Jeanne Moreau	French_people
Michele Morgan	French_people
Musidora	French_people
Gerard Philipe	French_people
Michel Piccoli	French_people
Clemence Poesy	French_people
Alexia Portal	French_people
Yvonne Printemps	French_people
Perette Pradier	French_people
Jerome Pradon	French_people
Elisa-Rachel Felix	French_people
Gabrielle Rejane	French_people
Jean Reno	French_people
Marine Renoir	French_people
Pierre Richard	French_people
Sebastian Roche	French_people
Jean Rochefort	French_people
Beatrice Romand	French_people
Philippine de Rothschild	French_people
Nathalie Roussel	French_people
Michel Roux (actor)	French_people
Emmanuelle Seigner	French_people
Delphine Seyrig	French_people
Simone Signoret	French_people
Audrey Tautou	French_people
Jean-Louis Trintignant	French_people
Marie Trintignant	French_people
Gaspard Ulliel	French_people
Michael Vartan	French_people
Herve Villechaize	French_people
Lambert Wilson	French_people
Jacques-Francois Blondel	French_people
Germain Boffrand	French_people
Etienne-Louis Boullee	French_people
Salomon de Brosse	French_people
Liberal Bruant	French_people
Androuet du Cerceau	French_people
Charles Edouard Jeanneret	French_people
Philibert de l'Orme	French_people
Gustave Eiffel	French_people
